post_id,post_id,text,post_text,shared_text,time,likes,comments,shares
3099927123420807,3099927123420807,"التونسية 🇹🇳 هَيْدا عبد النبي أول قائدة طائرة ركاب 👌 في ألمانيا: عندي جواز سفر الماني وجواز سفر تونسي لكني عمري ما حسيت بنفسي المانية ونقدم روحي ديما بصفتي التونسية..وولدي يوسف نربي فيه على حب تونس ونقري فيه في العربية 😍👍🇹🇳
#تونس_الناجحة
#Successful_Tunisia

","التونسية 🇹🇳 هَيْدا عبد النبي أول قائدة طائرة ركاب 👌 في ألمانيا: عندي جواز سفر الماني وجواز سفر تونسي لكني عمري ما حسيت بنفسي المانية ونقدم روحي ديما بصفتي التونسية..وولدي يوسف نربي فيه على حب تونس ونقري فيه في العربية 😍👍🇹🇳
#تونس_الناجحة
#Successful_Tunisia",,2020-06-13 14:52:33,2918,250,880
4487717404641765,4487717404641765,"#خبر_مفرح
استكمال طريق عين زارة بالعاصمة طرابلس الليبية .. المشروع كان بتنفيذ بين شركة تونسية وليبية
وهذا يعتبر انطلاق عمل الشركات التونسية في إعادة إعمار ليبيا 🇹🇳 🇱🇾","#خبر_مفرح
استكمال طريق عين زارة بالعاصمة طرابلس الليبية .. المشروع كان بتنفيذ بين شركة تونسية وليبية
وهذا يعتبر انطلاق عمل الشركات التونسية في إعادة إعمار ليبيا 🇹🇳 🇱🇾",,2021-10-10 21:46:32,529,39,109
4487688297978009,4487688297978009,"مدينة كولونيا الألمانية : تونس تشارك في الصالون الدولي للصناعات الغذائية

Cologne allemand : la Tunisie participe au salon international des industries alimentaires

SUCCESSFULTUNISIA.COM
مدينة كولونيا الألمانية : تونس تشارك في الصالون الدولي للصناعات الغذائية - Successful Tunisia","مدينة كولونيا الألمانية : تونس تشارك في الصالون الدولي للصناعات الغذائية

Cologne allemand : la Tunisie participe au salon international des industries alimentaires","SUCCESSFULTUNISIA.COM
مدينة كولونيا الألمانية : تونس تشارك في الصالون الدولي للصناعات الغذائية - Successful Tunisia",2021-10-10 21:30:58,57,0,5
4486512534762252,4486512534762252,"غينيا: امتنان لفريق طبي تونسي واعتراف بإنجازه بعد ان تمكن من القيام بأول عملية استعجالية لتسريح الشرايين في كوناكري - Successful Tunisia

Guinée : Gratitude à une équipe médicale tunisienne et reconnaissance de sa réalisation après avoir pu effectuer la première opération urgente de démobilisation des artères à Conakry - Successful Tunisia

SUCCESSFULTUNISIA.COM
غينيا: امتنان لفريق طبي تونسي واعتراف بإنجازه بعد ان تمكن من القيام بأول عملية استعجالية لتسريح الشرايين في كوناكري - Successful Tunisia","غينيا: امتنان لفريق طبي تونسي واعتراف بإنجازه بعد ان تمكن من القيام بأول عملية استعجالية لتسريح الشرايين في كوناكري - Successful Tunisia

Guinée : Gratitude à une équipe médicale tunisienne et reconnaissance de sa réalisation après avoir pu effectuer la première opération urgente de démobilisation des artères à Conakry - Successful Tunisia","SUCCESSFULTUNISIA.COM
غينيا: امتنان لفريق طبي تونسي واعتراف بإنجازه بعد ان تمكن من القيام بأول عملية استعجالية لتسريح الشرايين في كوناكري - Successful Tunisia",2021-10-10 13:28:44,109,3,13
4485995184813987,4485995184813987,"سفارة سويسرا بتونس تقوم بتزين واجهتها بالخط العربي وكتابة «أطلب العلم من المهد إلى اللحد ». وقد تم انجاز هذا العمل الفني من قبل الفنان التونسي The Inkman. 👍🇹🇳
#تونس_الناجحة","سفارة سويسرا بتونس تقوم بتزين واجهتها بالخط العربي وكتابة «أطلب العلم من المهد إلى اللحد ». وقد تم انجاز هذا العمل الفني من قبل الفنان التونسي The Inkman. 👍🇹🇳
#تونس_الناجحة",,2021-10-10 09:52:45,505,28,69
4484587971621375,4484587971621375,"مركز تدريب الHTC التابع لشركة Compagnie Africaine des Peintures هو اول مركز تدريب في افريقيا في مجال دهن وطلاء السيارات ...في هذا المركز فتحت العديد من الافق للشباب في سوق الشغل وصنعت عديد قصص النجاح 👍🇹🇳

شركة PlusCompagnie Africaine des Peintures هي اكبر شركة تونسية مختصة في صناعة منتجات دهن وطلاء السيارات والهياكل المعدنيةعلى غرار علامة ExtraColor و Jolycolor..وهي شركة مصدرة لاكثر من 20 بلد ولها شراكة مع اغلب علامات السيارات في تونس

#تونس_الناجحة","مركز تدريب الHTC التابع لشركة Compagnie Africaine des Peintures هو اول مركز تدريب في افريقيا في مجال دهن وطلاء السيارات ...في هذا المركز فتحت العديد من الافق للشباب في سوق الشغل وصنعت عديد قصص النجاح 👍🇹🇳

شركة PlusCompagnie Africaine des Peintures هي اكبر شركة تونسية مختصة في صناعة منتجات دهن وطلاء السيارات والهياكل المعدنيةعلى غرار علامة ExtraColor و Jolycolor..وهي شركة مصدرة لاكثر من 20 بلد ولها شراكة مع اغلب علامات السيارات في تونس

#تونس_الناجحة",,2021-10-09 22:26:44,31,1,7
4484420948304744,4484420948304744,"#باريس
طبيبة الاشعة التونسية ابتسام بالاغة تنال الميدالية الشرفية تقديرا لاسهاماتها العلمية ومسيرتها في طب الاشعة 👍🇹🇳
#تونس_الناجحة","#باريس
طبيبة الاشعة التونسية ابتسام بالاغة تنال الميدالية الشرفية تقديرا لاسهاماتها العلمية ومسيرتها في طب الاشعة 👍🇹🇳
#تونس_الناجحة",,2021-10-09 20:59:22,152,2,26
4484012661678906,4484012661678906,"عندما يكون المهندس المعماري مبدع يجعل من المدرسة العمومية قطعة فنية تنبعث منها روح جديدة مليئة بالتفاؤل..الصور للمدرسة الابتدائية الأمل البساتين المروج 1 👍🇹🇳
#تونس_الناجحة","عندما يكون المهندس المعماري مبدع يجعل من المدرسة العمومية قطعة فنية تنبعث منها روح جديدة مليئة بالتفاؤل..الصور للمدرسة الابتدائية الأمل البساتين المروج 1 👍🇹🇳
#تونس_الناجحة",,2021-10-09 17:54:49,953,80,274
4483783798368459,4483783798368459,"Monastir : Une startup tunisienne grâce à des jeunes talents à fabriquer un smart véhicule solaire - Successful Tunisia

SUCCESSFULTUNISIA.COM
Monastir : Une startup tunisienne grâce à des jeunes talents à fabriquer un smart véhicule solaire - Successful Tunisia",Monastir : Une startup tunisienne grâce à des jeunes talents à fabriquer un smart véhicule solaire - Successful Tunisia,"SUCCESSFULTUNISIA.COM
Monastir : Une startup tunisienne grâce à des jeunes talents à fabriquer un smart véhicule solaire - Successful Tunisia",2021-10-09 16:20:26,89,5,21
4483635985049907,4483635985049907,"#الفلاحة_الشابة نجاح سيدي احمد:
مش عيب تلصق فيك ريحة القْرط بالحلبة ...ولا عيب تغطس ف الطبعة و الطين...العيب كي تقعد لا صنعة لا صنيعة ...كان ال CD المجروح قريت قريت و هاني بطال ...لا يا سيدي نقراو باش اذا ما لقيناش خدمة نلقاو البديل . 👍🇹🇳
#تونس_الناجحة","#الفلاحة_الشابة نجاح سيدي احمد:
مش عيب تلصق فيك ريحة القْرط بالحلبة ...ولا عيب تغطس ف الطبعة و الطين...العيب كي تقعد لا صنعة لا صنيعة ...كان ال CD المجروح قريت قريت و هاني بطال ...لا يا سيدي نقراو باش اذا ما لقيناش خدمة نلقاو البديل . 👍🇹🇳
#تونس_الناجحة",,2021-10-09 15:23:23,479,22,116
